"airport","display_airport_name","display_city_market_name_full","airport_country_name","latitude","longitude","utc_local_time_variation","airport_is_latest"
"ANC","Ted Stevens Anchorage International","Anchorage, AK","United States","61.17416667","-149.99805556","-0900","1"
"APN","Alpena County Regional","Alpena, MI","United States","45.07805556","-83.56027778","-0500","1"
"ASE","Aspen Pitkin County Sardy Field","Aspen, CO","United States","39.22194444","-106.86833333","-0700","1"
"ATL","Hartsfield-Jackson Atlanta International","Atlanta, GA (Metropolitan Area)","United States","33.63666667","-84.42805556","-0500","1"
"ATW","Appleton International","Appleton, WI","United States","44.25805556","-88.51916667","-0600","1"
"ATY","Watertown Regional","Watertown, SD","United States","44.91388889","-97.15472222","-0600","1"
"AUS","Austin - Bergstrom International","Austin, TX","United States","30.19444444","-97.67000000","-0600","1"
"AVL","Asheville Regional","Asheville, NC","United States","35.43611111","-82.54194444","-0500","1"
"AVP","Wilkes Barre Scranton International","Scranton/Wilkes-Barre, PA","United States","41.34027778","-75.72166667","-0500","1"
"AZA","Mesa Gateway","Phoenix, AZ","United States","33.30777778","-111.65527778","-0700","1"
"AZO","Kalamazoo/Battle Creek International","Kalamazoo, MI","United States","42.23583333","-85.55388889","-0500","1"
"BDL","Bradley International","Hartford, CT","United States","41.93916667","-72.68444444","-0500","1"
"BET","Bethel Airport","Bethel, AK","United States","60.77861111","-161.83722222","-0900","1"
"BFF","Scottsbluff W Neb Regional Wm B Heilig Field","Scottsbluff, NE","United States","41.87416667","-103.59555556","-0700","1"
"BFL","Meadows Field","Bakersfield, CA","United States","35.43361111","-119.05750000","-0800","1"
"BGM","Greater Binghamton/Edwin A. Link Field","Binghamton, NY","United States","42.20833333","-75.97972222","-0500","1"
"BGR","Bangor International","Bangor, ME","United States","44.80750000","-68.82805556","-0500","1"
"BHM","Birmingham-Shuttlesworth International","Birmingham, AL","United States","33.56388889","-86.75222222","-0600","1"
"BIH","Bishop Airport","Bishop, CA","United States","37.37305556","-118.36361111","-0800","1"
"BIL","Billings Logan International","Billings, MT","United States","45.80777778","-108.54361111","-0700","1"
"BIS","Bismarck Municipal","Bismarck/Mandan, ND","United States","46.76861111","-100.74138889","-0600","1"
"BJI","Bemidji Regional","Bemidji, MN","United States","47.51083333","-94.93472222","-0600","1"
"BLI","Bellingham International","Bellingham, WA","United States","48.79277778","-122.53750000","-0800","1"
"BLV","Scott AFB MidAmerica St Louis","Belleville, IL","United States","38.54527778","-89.83527778","-0600","1"
"BMI","Central Il Regional Airport at Bloomington","Bloomington/Normal, IL","United States","40.47777778","-88.91027778","-0600","1"
"BNA","Nashville International","Nashville, TN","United States","36.12388889","-86.67777778","-0600","1"
"BOI","Boise Air Terminal","Boise, ID","United States","43.56444444","-116.22277778","-0700","1"
"BOS","Logan International","Boston, MA (Metropolitan Area)","United States","42.36305556","-71.00694444","-0500","1"
"BPT","Jack Brooks Regional","Beaumont/Port Arthur, TX","United States","29.95333333","-94.02416667","-0600","1"
"BQK","Brunswick Golden Isles","Brunswick, GA","United States","31.25916667","-81.46638889","-0500","1"
"BQN","Rafael Hernandez","Aguadilla, PR","United States","18.49472222","-67.12944444","-0400","1"
"BRD","Brainerd Lakes Regional","Brainerd, MN","United States","46.40416667","-94.13361111","-0600","1"
"BRO","Brownsville South Padre Island International","Brownsville, TX","United States","25.91083333","-97.42916667","-0600","1"
"BRW","Wiley Post/Will Rogers Memorial","Barrow, AK","United States","71.28472222","-156.76861111","-0900","1"
"BTM","Bert Mooney","Butte, MT","United States","45.95111111","-112.49555556","-0700","1"
"BTR","Baton Rouge Metropolitan/Ryan Field","Baton Rouge, LA","United States","30.53305556","-91.15000000","-0600","1"
"BTV","Patrick Leahy Burlington International","Burlington, VT","United States","44.47194444","-73.15333333","-0500","1"
"BUF","Buffalo Niagara International","Buffalo, NY","United States","42.94055556","-78.73055556","-0500","1"
"BUR","Bob Hope","Los Angeles, CA (Metropolitan Area)","United States","34.20055556","-118.35861111","-0800","1"
"BWI","Baltimore/Washington International Thurgood Marshall","Washington, DC (Metropolitan Area)","United States","39.17583333","-76.66888889","-0500","1"
"BZN","Bozeman Yellowstone International","Bozeman, MT","United States","45.77722222","-111.15027778","-0700","1"
"CAE","Columbia Metropolitan","Columbia, SC","United States","33.93888889","-81.11944444","-0500","1"
"CAK","Akron-Canton Regional","Cleveland, OH (Metropolitan Area)","United States","40.91666667","-81.44083333","-0500","1"
"CDC","Cedar City Regional","Cedar City, UT","United States","37.70194444","-113.09805556","-0700","1"
"CDV","Merle K Mudhole Smith","Cordova, AK","United States","60.49166667","-145.47750000","-0900","1"
"CHA","Lovell Field","Chattanooga, TN","United States","35.03777778","-85.20194444","-0500","1"
"CHO","Charlottesville Albemarle","Charlottesville, VA","United States","38.13972222","-78.45222222","-0500","1"
"CHS","Charleston AFB/International","Charleston, SC","United States","32.89861111","-80.04055556","-0500","1"
"CID","The Eastern Iowa","Cedar Rapids/Iowa City, IA","United States","41.88472222","-91.71083333","-0600","1"
"CIU","Chippewa County International","Sault Ste. Marie, MI","United States","46.25500000","-84.47694444","-0500","1"
"CKB","North Central West Virginia","Clarksburg/Fairmont, WV","United States","39.29777778","-80.22750000","-0500","1"
"CLD","McClellan-Palomar","Carlsbad, CA","United States","33.12833333","-117.28000000","-0800","1"
"CLE","Cleveland-Hopkins International","Cleveland, OH (Metropolitan Area)","United States","41.41027778","-81.85333333","-0500","1"
"CLL","Easterwood Field","College Station/Bryan, TX","United States","30.58805556","-96.36083333","-0600","1"
"CLT","Charlotte Douglas International","Charlotte, NC","United States","35.21305556","-80.95111111","-0500","1"
"CMH","John Glenn Columbus International","Columbus, OH","United States","39.99694444","-82.89222222","-0500","1"
"CMI","University of Illinois/Willard","Champaign/Urbana, IL","United States","40.03833333","-88.27666667","-0600","1"
"CMX","Houghton County Memorial","Hancock/Houghton, MI","United States","47.16833333","-88.48916667","-0500","1"
"CNY","Canyonlands Regional","Moab, UT","United States","38.76388889","-109.74555556","-0700","1"
"COD","Yellowstone Regional","Cody, WY","United States","44.52027778","-109.02388889","-0700","1"
"COS","City of Colorado Springs Municipal","Colorado Springs, CO","United States","38.80583333","-104.70083333","-0700","1"
"COU","Columbia Regional","Jefferson City/Columbia, MO","United States","38.82138889","-92.21555556","-0600","1"
"CPR","Casper/Natrona County International","Casper, WY","United States","42.90583333","-106.46361111","-0700","1"
"CRP","Corpus Christi International","Corpus Christi, TX","United States","27.76111111","-97.49611111","-0600","1"
"CRW","West Virginia International Yeager","Charleston/Dunbar, WV","United States","38.37611111","-81.59277778","-0500","1"
"CSG","Columbus Airport","Columbus, GA","United States","32.51388889","-84.94111111","-0500","1"
"CVG","Cincinnati/Northern Kentucky International","Cincinnati, OH","United States","39.04888889","-84.66777778","-0500","1"
"CWA","Central Wisconsin","Wausau/Mosinee/Stevens Point, WI","United States","44.78000000","-89.67527778","-0600","1"
"CYS","Cheyenne Regional/Jerry Olson Field","Cheyenne, WY","United States","41.15666667","-104.82027778","-0700","1"
"DAB","Daytona Beach International","Daytona Beach, FL","United States","29.18000000","-81.05805556","-0500","1"
"DAL","Dallas Love Field","Dallas/Fort Worth, TX","United States","32.84611111","-96.85083333","-0600","1"
"DAY","James M Cox/Dayton International","Dayton, OH","United States","39.90194444","-84.21805556","-0500","1"
"DCA","Ronald Reagan Washington National","Washington, DC (Metropolitan Area)","United States","38.85138889","-77.03777778","-0500","1"
"DDC","Dodge City Regional","Dodge City, KS","United States","37.76305556","-99.96555556","-0600","1"
"DEC","Decatur Airport","Decatur, IL","United States","39.83444444","-88.86555556","-0600","1"
"DEN","Denver International","Denver, CO","United States","39.86111111","-104.67194444","-0700","1"
"DFW","Dallas/Fort Worth International","Dallas/Fort Worth, TX","United States","32.89722222","-97.03777778","-0600","1"
"DHN","Dothan Regional","Dothan, AL","United States","31.32111111","-85.44944444","-0600","1"
"DIK","Dickinson - Theodore Roosevelt Regional","Dickinson, ND","United States","46.80055556","-102.80444444","-0700","1"
"DLG","Dillingham Airport","Dillingham, AK","United States","59.04472222","-158.50555556","-0900","1"
"DLH","Duluth International","Duluth, MN","United States","46.84138889","-92.18305556","-0600","1"
"DRO","Durango La Plata County","Durango, CO","United States","37.15166667","-107.75388889","-0700","1"
"DRT","Del Rio International","Del Rio, TX","United States","29.37416667","-100.92722222","-0600","1"
"DSM","Des Moines International","Des Moines, IA","United States","41.53388889","-93.66305556","-0600","1"
"DTW","Detroit Metro Wayne County","Detroit, MI","United States","42.21250000","-83.35333333","-0500","1"
"DVL","Devils Lake Regional","Devils Lake, ND","United States","48.11666667","-98.91000000","-0600","1"
"EAR","Kearney Regional","Kearney, NE","United States","40.73166667","-99.00805556","-0600","1"
"EAT","Pangborn Memorial","Wenatchee, WA","United States","47.39888889","-120.20694444","-0800","1"
"EAU","Chippewa Valley Regional","Eau Claire, WI","United States","44.86583333","-91.48416667","-0600","1"
"ECP","Northwest Florida Beaches International","Panama City, FL","United States","30.35833333","-85.79555556","-0600","1"
